"tenant_id","id","id_card","eff_begin","eff_end","first_name","last_name","birth_place","birth_date","email","phone","mobile","social_media","hobbies","strength","weakness","country_code","lov_ptyp","lov_blod","lov_gndr","lov_rlgn","lov_mars","created_by","created_at","updated_by","updated_at","file_photo"
1000000000,473,"","2018-04-05","2018-12-31","Rose","Dawson","","1991-04-05","","","","","","","","IN","EMP","","FM","MOS","SING",1,"2018-04-05 09:58:17+00","","",""
1000000000,474,"","2018-04-26","9999-12-31","Lovelace","Sapphire","","1980-04-20","","","","","","","","IN","EMP","","FM","MOS","SING",1,"2018-04-26 06:20:02+00","","",""
1000000000,477,"1234567","2018-07-10","9999-12-31","Aditya","Ramadhan","jakarta","1991-05-01","nova@lawencon.com","","1111111","","makan","makan kerupuk","ga makan","IN","EMP","A","Male","MOS","M",1,"2018-07-10 09:47:21+00",1,"2018-07-27 08:45:01+00","cdn/image/1700000000/EMPL/NTljOWUxNDAtOTE3OS0xMWU4LWE5MGItZTFhYjRlYjAzMmFhKlNjcmVlbnNob3QgZnJvbSAyMDE4LTA3LTI3IDE0LTAzLTI2LnBuZw=="
1000000000,477,"1234567","2018-07-10","9999-12-31","Aditya","Ramadhan","jakarta","1991-05-01","nova@lawencon.com","","1111111","","makan","makan kerupuk","ga makan","IN","EMP","A","Male","MOS","M",1,"2018-07-10 09:47:21+00",1,"2018-07-27 08:45:01+00","cdn/image/1700000000/EMPL/NTljOWUxNDAtOTE3OS0xMWU4LWE5MGItZTFhYjRlYjAzMmFhKlNjcmVlbnNob3QgZnJvbSAyMDE4LTA3LTI3IDE0LTAzLTI2LnBuZw=="
1000000000,478,"﻿16080003","2016-08-01","2018-06-20","Rodrigo N. Bartick"," ","Jakarta","2017-04-05","","","","","","","","IN","EMP","","F","MOS","S",1,"2018-06-05 00:00:00+00",1,"2018-06-20 03:13:33+00",""
1000000000,478,"﻿16080003","2018-06-20","9999-12-31","Rodrigo N. Bartick"," ","Jakarta","2017-04-05","Rodrigo@gmail.com","","00000","","","","","IN","EMP","A","Male","MOS","S",1,"2018-06-20 03:13:33+00","","",""
1000000000,478,"﻿16080003","2016-08-01","2018-06-20","Rodrigo N. Bartick"," ","Jakarta","2017-04-05","","","","","","","","IN","EMP","","F","MOS","S",1,"2018-06-05 00:00:00+00",1,"2018-06-20 03:13:33+00",""
1000000000,478,"﻿16080003","2018-06-20","9999-12-31","Rodrigo N. Bartick"," ","Jakarta","2017-04-05","Rodrigo@gmail.com","","00000","","","","","IN","EMP","A","Male","MOS","S",1,"2018-06-20 03:13:33+00","","",""
1000000000,479,"16080004","2016-08-01","2018-10-05","Michale N. Benton"," ","Jakarta","1984-02-06","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-06-06 00:00:00+00",1,"2018-10-05 04:18:11+00",""
1000000000,479,"16080004","2018-10-05","9999-12-31","Michale N. Benton"," ","Bandung","1984-02-06","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-10-05 04:18:11+00","","",""
1000000000,479,"16080004","2016-08-01","2018-10-05","Michale N. Benton"," ","Jakarta","1984-02-06","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-06-06 00:00:00+00",1,"2018-10-05 04:18:11+00",""
1000000000,479,"16080004","2018-10-05","9999-12-31","Michale N. Benton"," ","Bandung","1984-02-06","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-10-05 04:18:11+00","","",""
1000000000,480,"16080005","2016-08-01","9999-12-31","Will V. Tres"," ","Jakarta","1979-02-15","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-07 00:00:00+00","","",""
1000000000,481,"16080007","2016-08-01","9999-12-31","Connie B. Hufft"," ","Jakarta","2006-11-03","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-06-08 00:00:00+00",1,"2018-07-27 07:38:40+00","cdn/image/1700000000/EMPL/MTUwMTRkNzAtOTE3MC0xMWU4LTllZDEtZDVmNGQxNmM5OWI5KmFjY291bnQgY29kZS5QTkc="
1000000000,482,"16080008","2016-08-01","9999-12-31","Rolf Z. Stippich"," ","Jakarta","1972-10-03","","","","","","","","ID","EMP","","M","MOS","M",1,"2018-06-09 00:00:00+00",1,"2018-08-28 03:43:09+00","cdn/image/1700000000/EMPL/N2FmMzgwMDAtYWE3NC0xMWU4LWJjMWItZTVkOGViMGM0ZDkyKk9uZS1QaWVjZS1Nb25rZXktRC1MdWZmeS1EZWNhbF8xMDI0eDEwMjRfZjI4MjJlZmQtMmVlZC00YjBjLTkyODMtZGYwMDkxM2EzYzBmXzEwMjR4MTAyNC5qcGc="
1000000000,483,"16080009","2016-08-01","9999-12-31","Merlin Q. Fea"," ","Jakarta","2001-05-20","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-06-10 00:00:00+00","","",""
1000000000,484,"16080011","2016-08-22","9999-12-31","Mohamed O. Schlotzhauer"," ","Jakarta","2000-04-13","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-11 00:00:00+00",1,"2018-07-27 04:17:04+00","cdn/image/1700000000/EMPL/ZWFmYTE1YTAtOTE1My0xMWU4LWFjOTYtMjdlZTQzNjhkNWRiKmFjY291bnQgY29kZS5QTkc="
1000000000,485,"16100020","2016-10-10","9999-12-31","Garth O. Boerum"," ","Jakarta","2001-09-13","","","","","","","","ID","EMP","","M","MOS","M",1,"2018-06-12 00:00:00+00","","",""
1000000000,486,"16110029","2016-11-28","9999-12-31","Kieth W. Perrington"," ","Jakarta","1980-11-15","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-13 00:00:00+00","","",""
1000000000,487,"16120030","2016-12-05","9999-12-31","Logan Q. Krolak"," ","Jakarta","1974-02-22","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-14 00:00:00+00",1,"2018-09-18 11:06:36+00","cdn/image/1700000000/EMPL/ZThlMGJjYTAtYmIzMi0xMWU4LTgzZWEtODU0OTBjNDZmZmJmKjNlMGQxMjAwLTFjYWYtNDM2NC05ZDFiLWQzZDE5NmZlOWY0MC5qcGc="
1000000000,487,"16120030","2016-12-05","9999-12-31","Logan Q. Krolak"," ","Jakarta","1974-02-22","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-14 00:00:00+00",1,"2018-09-18 11:06:36+00","cdn/image/1700000000/EMPL/ZThlMGJjYTAtYmIzMi0xMWU4LTgzZWEtODU0OTBjNDZmZmJmKjNlMGQxMjAwLTFjYWYtNDM2NC05ZDFiLWQzZDE5NmZlOWY0MC5qcGc="
1000000000,488,"16120031","2016-12-07","9999-12-31","Kirby B. Duros"," ","Jakarta","1996-04-04","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-15 00:00:00+00","","",""
1000000000,489,"16120036","2016-12-20","9999-12-31","Yong Q. Moberley"," ","Jakarta","2009-01-04","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-16 00:00:00+00","","",""
1000000000,490,"16120037","2016-12-22","9999-12-31","Scott U. Mezzacapo"," ","Jakarta","1991-01-22","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-17 00:00:00+00","","",""
1000000000,491,"17010040","2017-01-03","9999-12-31","Raphael A. Huggs"," ","Jakarta","1987-10-12","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-18 00:00:00+00","","",""
1000000000,492,"17010041","2017-01-05","9999-12-31","Agustin I. Benter"," ","Jakarta","1968-06-05","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-06-19 00:00:00+00","","",""
1000000000,493,"17010043","2017-01-09","9999-12-31","Eli Q. Rezzonico"," ","Jakarta","2008-11-01","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-06-20 00:00:00+00","","",""
1000000000,494,"17010044","2017-01-09","9999-12-31","Levi F. McIlrath"," ","Jakarta","2008-08-20","","","","","","","","ID","EMP","","F","MOS","S",1,"2018-06-21 00:00:00+00","","",""
1000000000,495,"17010045","2017-01-09","9999-12-31","Ricardo E. Garmer"," ","Jakarta","1963-08-12","","","","","","","","ID","EMP","","M","MOS","S",1,"2018-06-22 00:00:00+00","","",""
1000000000,496,"17020050","2017-02-01","9999-12-31","Jerrold T. Tutko"," ","Jakarta","2001-07-02","","","","","","","","ID","EMP","","M","MOS","M",1,"2018-06-23 00:00:00+00","","",""
1000000000,497,"17020052","2017-02-06","9999-12-31","Leonard G. Mincher"," ","Jakarta","1988-10-13","","","","","","","","ID","EMP","","M","MOS","M",1,"2018-06-24 00:00:00+00","","",""
1000000000,498,"17020056","2017-02-16","9999-12-31","Maynard X. Tomes"," ","Jakarta","1973-11-29","","","","","","","","ID","EMP","","F","MOS","M",1,"2018-06-25 00:00:00+00","","",""
1000000000,499,"17020058","2017-02-20","9999-12-31","Carlton F. Patka"," ","Jakarta","1994-05-09","","","","","","","","ID","EMP","","F","MOS","M",1,"2018-06-26 00:00:00+00","","",""
1000000000,500,"17020059","2017-02-20","9999-12-31","Javier Z. Waggenspack"," ","Jakarta","1998-02-03","","","","","","","","ID","EMP","","F","MOS","M",1,"2018-06-27 00:00:00+00","","",""
